n,positive,tp,fp,tn,fn,brier,sensitivity,specificity,ppv,npv,f1,pr_auc,roc_auc,model,target,seed,n_mothers
554,66,57,295,193,9,0.08006343149512365,0.8636363636363636,0.39549180327868855,0.16193181818181818,0.9554455445544554,0.2727272727272727,0.5129768224488436,0.7901763537009439,logit_z_quality,label,2026,147
554,66,56,286,202,10,0.08204184311521985,0.8484848484848485,0.4139344262295082,0.16374269005847952,0.9528301886792453,0.27450980392156865,0.4847495306548308,0.7801477893691009,logit_z_quality,label,2027,147
554,66,56,285,203,10,0.0815953717692595,0.8484848484848485,0.41598360655737704,0.16422287390029325,0.9530516431924883,0.2751842751842752,0.48934234469652566,0.7874751614505712,logit_z_quality,label,2028,147
554,66,56,275,213,10,0.08044794981663735,0.8484848484848485,0.4364754098360656,0.1691842900302115,0.9551569506726457,0.28211586901763225,0.5108873675082242,0.7894311972180824,logit_z_quality,label,2029,147
554,66,55,281,207,11,0.08753770769405389,0.8333333333333334,0.42418032786885246,0.1636904761904762,0.9495412844036697,0.27363184079601993,0.42282394973577503,0.7439456035767511,logit_z_quality,label,2030,147
554,66,56,215,273,10,0.0807833934509326,0.8484848484848485,0.5594262295081968,0.2066420664206642,0.9646643109540636,0.33234421364985167,0.5079139532445198,0.8055452061599603,logit_all,label,2026,147
554,66,57,212,276,9,0.08225050037078542,0.8636363636363636,0.5655737704918032,0.21189591078066913,0.968421052631579,0.34029850746268653,0.47453818005965903,0.7985283159463488,logit_all,label,2027,147
554,66,56,209,279,10,0.0822701187118119,0.8484848484848485,0.5717213114754098,0.21132075471698114,0.9653979238754326,0.3383685800604229,0.4851548626195573,0.8094883258817686,logit_all,label,2028,147
554,66,54,214,274,12,0.0802623944175802,0.8181818181818182,0.5614754098360656,0.20149253731343283,0.958041958041958,0.32335329341317365,0.5051920707165249,0.8045206159960259,logit_all,label,2029,147
554,66,51,184,304,15,0.08610304416075576,0.7727272727272727,0.6229508196721312,0.2170212765957447,0.9529780564263323,0.3388704318936877,0.43501935476315956,0.7664244908097367,logit_all,label,2030,147
554,66,46,153,335,20,0.18549117657588352,0.696969696969697,0.6864754098360656,0.23115577889447236,0.9436619718309859,0.34716981132075475,0.2887710495261017,0.7329234972677595,forest_all_depth3,label,2026,147
554,66,45,139,349,21,0.18061395056385465,0.6818181818181818,0.7151639344262295,0.24456521739130435,0.9432432432432433,0.36,0.32230750828686255,0.7645615996025832,forest_all_depth3,label,2027,147
554,66,46,152,336,20,0.1817100459071193,0.696969696969697,0.6885245901639344,0.23232323232323232,0.9438202247191011,0.3484848484848485,0.3485396585964664,0.7508693492300049,forest_all_depth3,label,2028,147
554,66,45,133,355,21,0.1781991792344124,0.6818181818181818,0.7274590163934426,0.25280898876404495,0.9441489361702128,0.36885245901639346,0.35296493977104204,0.7645615996025833,forest_all_depth3,label,2029,147
554,66,41,146,342,25,0.18259783390775178,0.6212121212121212,0.7008196721311475,0.2192513368983957,0.9318801089918256,0.32411067193675885,0.27903628642207234,0.7180203676105316,forest_all_depth3,label,2030,147
