model,target,term,coefficient_standardized,odds_ratio,imputer_median,scaler_mean,scaler_scale
all,label,age,-0.34906123729399363,0.7053499352260423,30.0,29.918772563176894,4.218607732532153
z_quality,label_T13,Intercept,-4.233755431982945,0.014497842525326335,,,
z_quality,label_T13,z13,0.0019681556662086972,1.0019700937558507,0.2190776465,0.3402041473996691,1.2446248488369427
z_quality,label_T13,z18,-0.012847887573352455,0.9872342942036202,0.637321713,0.6631023112918172,1.1486127638930947
z_quality,label_T13,z21,0.7001721272929101,2.0140993591058516,-0.118210744,-0.12079130697307462,1.0768404900422575
z_quality,label_T13,zx,-0.46467236595516564,0.6283409373518273,0.4910916625,0.4023154955455776,1.2100144390266436
z_quality,label_T13,x_conc,-0.938607991336457,0.39117197132268555,-0.0077979065,-0.007006771588447654,0.017939953104847913
z_quality,label_T13,gc,0.191954821236015,1.2116157764251514,0.40103584999999997,0.4009488587093863,0.0033997736471548037
z_quality,label_T13,gc13,1.0484564972590558,2.8532437280140956,0.378940612,0.3791280906674187,0.004462595993674956
z_quality,label_T13,gc18,0.12333149190870171,1.13125936212426,0.391917348,0.3919921974524669,0.004250803259860841
z_quality,label_T13,gc21,-0.6913580892652865,0.5008953463366754,0.401227534,0.4012776686704272,0.005130385063238627
z_quality,label_T13,reads_raw,-0.19477264779358464,0.823021752598415,4602918.0,4757497.610258724,980334.5645361142
z_quality,label_T13,uniq_reads,-0.11600627502765401,0.8904696355583528,3471163.0,3591843.0743080624,749617.3634434481
z_quality,label_T13,map_ratio,0.2180257190544614,1.2436190519138828,0.8017553333333334,0.7967288233622143,0.01624855962726429
z_quality,label_T13,dup_ratio,0.1541589106913248,1.1666762693809303,0.030175479999999998,0.030252384841456082,0.0029178428440183456
z_quality,label_T13,filt_ratio,0.7070385324391093,2.0279765700635766,0.0228007765,0.023646327527677497,0.009751450109765561
z_quality,label_T18,Intercept,-3.3330060899104965,0.035685669337282885,,,
z_quality,label_T18,z13,0.21268604423637466,1.236996228177542,0.2190776465,0.3402041473996691,1.2446248488369427
z_quality,label_T18,z18,0.47911846856160195,1.614650409539931,0.637321713,0.6631023112918172,1.1486127638930947
z_quality,label_T18,z21,-0.06208481080507623,0.9398031779469163,-0.118210744,-0.12079130697307462,1.0768404900422575
z_quality,label_T18,zx,-0.5754149363522135,0.5624714305356818,0.4910916625,0.4023154955455776,1.2100144390266436
z_quality,label_T18,x_conc,-1.1553303781300102,0.3149534659758514,-0.0077979065,-0.007006771588447654,0.017939953104847913
z_quality,label_T18,gc,-0.37073013166494795,0.6902301876982476,0.40103584999999997,0.4009488587093863,0.0033997736471548037
z_quality,label_T18,gc13,1.8917850334665514,6.631195027738266,0.378940612,0.3791280906674187,0.004462595993674956
z_quality,label_T18,gc18,0.41991959280159863,1.5218391838737224,0.391917348,0.3919921974524669,0.004250803259860841
z_quality,label_T18,gc21,-1.679356542671947,0.18649393833121972,0.401227534,0.4012776686704272,0.005130385063238627
z_quality,label_T18,reads_raw,0.011256908091007017,1.0113205054935697,4602918.0,4757497.610258724,980334.5645361142
z_quality,label_T18,uniq_reads,-0.09289770638298107,0.9112867143426097,3471163.0,3591843.0743080624,749617.3634434481
z_quality,label_T18,map_ratio,0.20572782911072088,1.2284188186501186,0.8017553333333334,0.7967288233622143,0.01624855962726429
z_quality,label_T18,dup_ratio,-0.07978947146567812,0.9233107091767879,0.030175479999999998,0.030252384841456082,0.0029178428440183456
z_quality,label_T18,filt_ratio,-0.25834904083401583,0.7723256118797286,0.0228007765,0.023646327527677497,0.009751450109765561
z_quality,label_T21,Intercept,-4.13594889734409,0.015987487445550147,,,
z_quality,label_T21,z13,-0.30211561795540953,0.7392525890754775,0.2190776465,0.3402041473996691,1.2446248488369427
z_quality,label_T21,z18,-0.12273285959226085,0.884499916671291,0.637321713,0.6631023112918172,1.1486127638930947
z_quality,label_T21,z21,0.22709238483365504,1.254945800544019,-0.118210744,-0.12079130697307462,1.0768404900422575
z_quality,label_T21,zx,0.1751216981266718,1.1913911978671194,0.4910916625,0.4023154955455776,1.2100144390266436
z_quality,label_T21,x_conc,-0.2720890133699954,0.7617864488927535,-0.0077979065,-0.007006771588447654,0.017939953104847913
z_quality,label_T21,gc,0.2162378577478308,1.2413976199286474,0.40103584999999997,0.4009488587093863,0.0033997736471548037
z_quality,label_T21,gc13,-0.2572233980195385,0.773195464134801,0.378940612,0.3791280906674187,0.004462595993674956
z_quality,label_T21,gc18,0.1604343738753082,1.1740207241819958,0.391917348,0.3919921974524669,0.004250803259860841
z_quality,label_T21,gc21,-0.2093843342120843,0.8110834486138805,0.401227534,0.4012776686704272,0.005130385063238627
z_quality,label_T21,reads_raw,0.05030991277266317,1.0515969492066917,4602918.0,4757497.610258724,980334.5645361142
z_quality,label_T21,uniq_reads,-0.06366585538423575,0.9383184812220755,3471163.0,3591843.0743080624,749617.3634434481
z_quality,label_T21,map_ratio,0.09577257238961602,1.1005087494557437,0.8017553333333334,0.7967288233622143,0.01624855962726429
z_quality,label_T21,dup_ratio,-0.5724127315225869,0.56416262236284,0.030175479999999998,0.030252384841456082,0.0029178428440183456
z_quality,label_T21,filt_ratio,0.3698754834186536,1.447554358921057,0.0228007765,0.023646327527677497,0.009751450109765561
