model,metric,n_boot,point_mean,bootstrap_design,median,ci_low,ci_high
logit_z,sensitivity,600,0.8454545454545455,random_cv_seed_then_mother_cluster,0.8441558441558441,0.7450980392156863,0.9245400943396227
logit_z,specificity,600,0.19959016393442625,random_cv_seed_then_mother_cluster,0.19708021260123348,0.15479152526354675,0.2484851822602768
logit_z,ppv,600,0.12501754566931528,random_cv_seed_then_mother_cluster,0.12296913789668115,0.08822848583877996,0.1604693254761654
logit_z,npv,600,0.9050125617171811,random_cv_seed_then_mother_cluster,0.9056970819823993,0.8350490441397258,0.9569103081438004
logit_z,f1,600,0.2178209318168244,random_cv_seed_then_mother_cluster,0.2141491395793499,0.15930932658383187,0.27095078401160155
logit_z,brier,600,0.10595415118539897,random_cv_seed_then_mother_cluster,0.10488542289018954,0.0813814286457989,0.1316001410661557
logit_z_quality,pr_auc,600,0.4841560030088399,random_cv_seed_then_mother_cluster,0.49086931222850205,0.3297569679098068,0.6401616750637161
logit_z_quality,roc_auc,600,0.7782352210630898,random_cv_seed_then_mother_cluster,0.7812693531773123,0.694302393608378,0.8566713053020101
logit_z_quality,sensitivity,600,0.8484848484848484,random_cv_seed_then_mother_cluster,0.85,0.7543859649122807,0.9384615384615385
logit_z_quality,specificity,600,0.41721311475409834,random_cv_seed_then_mother_cluster,0.4158315425863073,0.36084695528298244,0.4729479706300568
logit_z_quality,ppv,600,0.16455442967225573,random_cv_seed_then_mother_cluster,0.1662124126458378,0.12024983844604098,0.2203907389402042
logit_z_quality,npv,600,0.9532051223005009,random_cv_seed_then_mother_cluster,0.9534883720930233,0.9248583894672382,0.9792799256011692
logit_z_quality,f1,600,0.2756338123293537,random_cv_seed_then_mother_cluster,0.2784516432200652,0.20993806808055607,0.35096153846153844
logit_z_quality,brier,600,0.08233726077805885,random_cv_seed_then_mother_cluster,0.08262086030855173,0.06271740055703921,0.10626416457529123
rule_absZ,pr_auc,600,0.135534672048447,random_cv_seed_then_mother_cluster,0.14143912444771048,0.09581537430705168,0.20060692711933437
rule_absZ,roc_auc,600,0.5131023348236463,random_cv_seed_then_mother_cluster,0.5113227062911665,0.4371473347531697,0.5875317721341857
rule_absZ,sensitivity,600,0.8878787878787879,random_cv_seed_then_mother_cluster,0.8912584459459459,0.8031967213114755,0.9682900432900433
rule_absZ,specificity,600,0.13032786885245903,random_cv_seed_then_mother_cluster,0.1298020100936031,0.1037872462246821,0.15945827877076918
rule_absZ,ppv,600,0.12132307571857712,random_cv_seed_then_mother_cluster,0.12153518123667377,0.0852524245133778,0.1594263792473511
rule_absZ,npv,600,0.8958745284891801,random_cv_seed_then_mother_cluster,0.8987341772151899,0.821824408468244,0.9677671370967742
rule_absZ,f1,600,0.21347572320047825,random_cv_seed_then_mother_cluster,0.21409558378705384,0.1553169509809299,0.27112676056338025
rule_signedZ,pr_auc,600,0.13454546783955434,random_cv_seed_then_mother_cluster,0.1403519464835179,0.09463218621641195,0.20125516971201848
rule_signedZ,roc_auc,600,0.5393380526577248,random_cv_seed_then_mother_cluster,0.5426518335789425,0.456369425497638,0.6187601257005251
rule_signedZ,sensitivity,600,0.8878787878787879,random_cv_seed_then_mother_cluster,0.8928571428571429,0.8063883617963314,0.9608031674208145
rule_signedZ,specificity,600,0.13811475409836066,random_cv_seed_then_mother_cluster,0.1398192592836125,0.10102757616383894,0.17904347480527735
rule_signedZ,ppv,600,0.12228952995654127,random_cv_seed_then_mother_cluster,0.12242780929799305,0.08894101425881087,0.16102378348824492
rule_signedZ,npv,600,0.9010630612392738,random_cv_seed_then_mother_cluster,0.9053342816500711,0.8289133393829401,0.9661064559131594
rule_signedZ,f1,600,0.21496867474529852,random_cv_seed_then_mother_cluster,0.21577472939381584,0.16119769673704412,0.27293983202443983
