n,positive,tp,fp,tn,fn,brier,sensitivity,specificity,ppv,npv,f1,pr_auc,roc_auc,subtype,model,seed,n_positive_events
554,22,17,230,302,5,0.032365535946566576,0.7727272727272727,0.5676691729323309,0.06882591093117409,0.9837133550488599,0.12639405204460966,0.32931799459620736,0.8023752563226247,T13,logit_z_quality,2029,22
554,22,14,169,363,8,0.033039026054924696,0.6363636363636364,0.6823308270676691,0.07650273224043716,0.9784366576819407,0.13658536585365855,0.31304059931682277,0.7855434039644565,T13,logit_all,2029,22
554,22,19,321,211,3,0.048819987350308396,0.8636363636363636,0.3966165413533835,0.05588235294117647,0.985981308411215,0.10497237569060773,0.21445889190759804,0.7412850307587149,T13,overall_logit_z_quality,2029,22
554,22,19,497,35,3,,0.8636363636363636,0.06578947368421052,0.03682170542635659,0.9210526315789473,0.07063197026022305,0.04324135130393314,0.42754613807245384,T13,rule_z_own,2030,22
554,22,16,248,284,6,0.034376106737896914,0.7272727272727273,0.5338345864661654,0.06060606060606061,0.9793103448275862,0.1118881118881119,0.2961609643726963,0.7648667122351334,T13,logit_z_quality,2030,22
554,22,15,170,362,7,0.03446798145347925,0.6818181818181818,0.6804511278195489,0.08108108108108109,0.981029810298103,0.14492753623188406,0.28177287787942956,0.7617908407382091,T13,logit_all,2030,22
554,22,21,314,218,1,0.04615108657117618,0.9545454545454546,0.40977443609022557,0.0626865671641791,0.9954337899543378,0.1176470588235294,0.28368186896889197,0.8329630895420369,T13,overall_logit_z_quality,2030,22
554,45,41,422,87,4,,0.9111111111111111,0.17092337917485265,0.08855291576673865,0.9560439560439561,0.16141732283464566,0.10093869952692626,0.5811831477843266,T18,rule_z_own,2026,45
554,45,38,244,265,7,0.05268036911866696,0.8444444444444444,0.5206286836935167,0.1347517730496454,0.9742647058823529,0.2324159021406728,0.5435813240281067,0.8398602925125519,T18,logit_z_quality,2026,45
554,45,37,224,285,8,0.054541692604468395,0.8222222222222222,0.5599214145383105,0.1417624521072797,0.9726962457337884,0.24183006535947713,0.5113574732150565,0.8340973586553154,T18,logit_all,2026,45
554,45,41,273,236,4,0.05722342134318504,0.9111111111111111,0.4636542239685658,0.1305732484076433,0.9833333333333333,0.22841225626740946,0.4969099077386267,0.8381576075092774,T18,overall_logit_z_quality,2026,45
554,45,40,416,93,5,,0.8888888888888888,0.18271119842829076,0.08771929824561403,0.9489795918367347,0.1596806387225549,0.10093869952692626,0.5811831477843266,T18,rule_z_own,2027,45
554,45,39,265,244,6,0.053718360102735285,0.8666666666666667,0.4793713163064833,0.12828947368421054,0.976,0.22349570200573068,0.5209820636940382,0.8363676053263481,T18,logit_z_quality,2027,45
554,45,37,230,279,8,0.056482533788239114,0.8222222222222222,0.5481335952848723,0.13857677902621723,0.9721254355400697,0.2371794871794872,0.47436190775378934,0.8296005239030778,T18,logit_all,2027,45
